epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
71,63.0689,1.44076,1.74521,5.29288,0.00237,8.32933,0,0,0,0,0,0,0,0,1.05364,1.33234,5.30941,0.00254,0,2.53582e-05,2.53582e-05,2.53582e-05
72,63.8563,1.26716,1.61067,5.26878,0.00216,8.30473,0,0,0,0,0,0,0,0,1.04697,1.32464,5.29452,0.00253,0,2.4891e-05,2.4891e-05,2.4891e-05
73,64.5865,1.11308,1.4483,5.20461,0.00231,8.31963,0,0,0,0,0,0,0,0,1.04697,1.32464,5.29452,0.00253,0,2.44005e-05,2.44005e-05,2.44005e-05
74,65.3245,1.29952,1.65454,5.26503,0.00212,8.26274,0,0,0,0,0,0,0,0,1.04697,1.32464,5.29452,0.00253,0,2.38866e-05,2.38866e-05,2.38866e-05
75,66.0768,1.34714,1.58184,5.29232,0.00212,8.29768,0,0,0,0,0,0,0,0,1.03444,1.30717,5.28818,0.00249,0,2.33494e-05,2.33494e-05,2.33494e-05
76,66.8134,1.37715,1.72684,5.2982,0.00212,8.30837,0,0,0,0,0,0,0,0,1.03444,1.30717,5.28818,0.00249,0,2.27887e-05,2.27887e-05,2.27887e-05
77,67.6292,1.18973,1.42598,5.23754,0.00217,8.2702,0,0,0,0,0,0,0,0,1.03444,1.30717,5.28818,0.00249,0,2.22048e-05,2.22048e-05,2.22048e-05
78,68.4568,1.415,1.75847,5.30662,0.00223,8.30136,0,0,0,0,0,0,0,0,1.02564,1.29357,5.27647,0.00247,0,2.15974e-05,2.15974e-05,2.15974e-05
79,69.2055,1.40366,1.76654,5.24433,0.00216,8.28527,0,0,0,0,0,0,0,0,1.02564,1.29357,5.27647,0.00247,0,2.09667e-05,2.09667e-05,2.09667e-05
80,69.952,1.27754,1.53543,5.20892,0.0021,8.2953,0,0,0,0,0,0,0,0,1.02564,1.29357,5.27647,0.00247,0,2.03126e-05,2.03126e-05,2.03126e-05
81,70.7287,1.11693,1.49609,5.16243,0.00224,8.27021,0,0,0,0,0,0,0,0,1.02529,1.27812,5.25439,0.00248,0,1.96352e-05,1.96352e-05,1.96352e-05
